Issue Type,Summary,Description,Priority,Labels,Epic Name,External reference
Task,"Definir alcance clínico y requisitos","Proyecto: CitoCounter-Proto. Definir usuarios, entradas, salidas, leyenda de no diagnóstico y límites de uso. Dependencia: ninguna. Evidencia: documento aprobado por CIS y responsable clínico. Repositorio: https://github.com/zowy4/CitoCounter-Proto/tree/main","Highest","cito-counter, gobierno, requisitos","E1 Gobierno, ética y requisitos","J-01"
Task,"Definir privacidad, anonimización, retención y accesos","Inventariar imágenes, metadatos y resultados. Definir anonimización, retención, eliminación, roles y auditoría conforme a LFPDPPP y políticas CIS. Dependencia: J-01. Evidencia: matriz y procedimiento aprobados. Repositorio: https://github.com/zowy4/CitoCounter-Proto/tree/main","Highest","cito-counter, privacidad, datos","E1 Gobierno, ética y requisitos","J-02"
Task,"Completar dataset y particiones train val test","Integrar datos autorizados o sintéticos, IDs, etiquetas y trazabilidad. Separar calibración y prueba. Dependencia: J-02. Evidencia: dataset validado sin datos identificables. Repositorio: https://github.com/zowy4/CitoCounter-Proto/tree/main","Highest","cito-counter, dataset, ground-truth","E2 Dataset y ground truth","J-03"
Task,"Definir protocolo de anotación y doble revisión experta","Establecer clases, instrucciones, resolución de discrepancias y concordancia entre anotadores. Dependencia: J-03. Evidencia: guía y muestra de concordancia. Repositorio: https://github.com/zowy4/CitoCounter-Proto/tree/main","High","cito-counter, anotaciones, validación","E2 Dataset y ground truth","J-04"
Task,"Corregir validador de consistencia del dataset","Hacer fallar la validación ante splits vacíos, archivos huérfanos, etiquetas inválidas o CSV sin imagen. Dependencia: J-03. Evidencia: pruebas positivas y negativas. Repositorio: https://github.com/zowy4/CitoCounter-Proto/tree/main","High","cito-counter, calidad, dataset","E2 Dataset y ground truth","J-05"
Task,"Corregir manejo numérico y probar filtro DoG","Evaluar diferencias positivas y negativas usando representación numérica adecuada, agregar regresiones y documentar el resultado visual. Dependencia: ninguna. Evidencia: pruebas y comparativa. Repositorio: https://github.com/zowy4/CitoCounter-Proto/tree/main","Highest","cito-counter, dog, algoritmo","E3 Pipeline DoG y calibración","J-06"
Task,"Calibrar parámetros DoG y regla de clasificación","Calibrar sigma, umbral, áreas mínima/máxima y regla 3x con conjunto separado. Dependencias: J-03, J-04, J-06. Evidencia: bitácora, tabla de parámetros y reporte. Repositorio: https://github.com/zowy4/CitoCounter-Proto/tree/main","Highest","cito-counter, calibración, dog","E3 Pipeline DoG y calibración","J-07"
Task,"Implementar métricas precisión sensibilidad F1 e IoU","Crear cálculo reproducible de métricas de detección y segmentación con casos unitarios y reporte por conjunto. Dependencias: J-03, J-04. Evidencia: script, pruebas y gráficas. Repositorio: https://github.com/zowy4/CitoCounter-Proto/tree/main","Highest","cito-counter, métricas, evaluación","E4 Validación científica y comparación","J-08"
Task,"Comparar DoG contra Otsu y línea base","Ejecutar comparación con protocolo fijo y conjunto de prueba congelado. Dependencias: J-07, J-08. Evidencia: tablas, gráficas y análisis de errores. Repositorio: https://github.com/zowy4/CitoCounter-Proto/tree/main","High","cito-counter, baseline, otsu","E4 Validación científica y comparación","J-09"
Task,"Definir reglas explicables normal y sospechosa","Documentar variables, umbrales, casos frontera, limitaciones y mensaje de revisión experta. Dependencia: J-07. Evidencia: documento de reglas y casos de prueba. Repositorio: https://github.com/zowy4/CitoCounter-Proto/tree/main","High","cito-counter, reglas, explicabilidad","E5 Reglas explicables y clasificación","J-10"
